name,phone,address,no_address,days,hours,general_topic,tags,city,state,zip_code,web_site,notes
Arizona Department of Economic Security,,5441 E 22nd St #101,0,Temporarily Closed,,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85711,des.az.gov,
Arizona Department of Economic Security,15207247700,2797 E Ajo Way,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85713,des.az.gov,
Arizona Department of Economic Security,,195 W Irvington Rd,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85714,des.az.gov,
Arizona Department of Economic Security,18554327587,2255 W Ina Rd,0,"M, T, W, Th, F",7:00 am - 5:00 pm,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85741,des.az.gov,
Arizona Department of Economic Security,15207455588,6740 S Tucson Blvd,0,"M, T, W, Th, F ",8:00 am - 5:00 pm,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85756,des.az.gov,
Arizona Department of Economic Security,15205448618,7225 N Mona Lisa Rd #202,0,Temporarily Closed,,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85741,des.az.gov,
Arizona Department of Economic Security,15206382000,4710 S Palo Verde Rd,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85714,des.az.gov,
Southern Arizona Legal Aid,5206239461,2343 E. Broadway Blvd #20,0,"M, T, W, Th, F",8:30 am -12:00 pm and 1:00 pm - 4:00 pm,Public Benefits,"['Public Benefits', 'Social Security', 'Domestic Violence', 'Legal Services']",Tuscon,AZ,85719,https://www.sazlegalaid.org/services,
SSA,866331769,3808 N 1ST AVE,0,"M, T, W, Th, F",9:00 am - 4:00 pm,Public Benefits,"['Public Benefits', 'Social Security']",Tuscon,AZ,85719,www.ssa.gov,
SSA,8662207896,"88 W 38th St, Ste 100",0,"M, T, W, Th, F",9:00 am - 4:00 pm,Public Benefits,"['Public Benefits', 'Social Security']",Tuscon,AZ,85713,www.ssa.gov,
Tucson Indian Center,5208847131,160 Stone Ave,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Public Benefits,"['Housing', 'Indigent']",Tuscon,AZ,85701,https://www.ticenter.org/,
Youth Employment One Stop Job Services,15207249649,320 N Commerce Park Loop #200,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Public Benefits,"['Employment', 'Young Adult']",Tucson,AZ,85745,http://webcms.pima.gov/government/community_services_employment_and_training/,
Arizona@WORK Pima County,15207247700,2797 E Ajo Way,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Public Benefits,,Tucson,AZ,85713,http://webcms.pima.gov/government/community_services_employment_and_training/,
Public Benefits Application,,,1,,,Public Benefits,,,,,www.healthearizonaplus.gov,
Public Benefits Screening,,,1,,,Public Benefits,,,,,www.arizonaselfhelp.org,
Public Benefits Screening,,,1,,,Public Benefits,['Elder'],,,,www.benefitscheckup.org,For senior citizens
Arizona 211,8772118661,,1,,,Public Benefits,['Food and Nutrition'],,,,211arizona.org,
Tucson Alliance for Autism,5203195857,3111 E. 2nd Street,0,,,Special Education,"['Special Education', 'Mental Health', 'Adolescent']",Tuscon,AZ,85716,https://tucsonallianceforautism.com/,
Arizona Center for Disability Law,15203279547,177 N Church Ave #800,0,,,Special Education,['Disability'],Tucson,AZ,85701,www.acdl.com,
Easterseals Blake Foundation,15203271529,7750 E Broadway Blvd # 200,0,"M, T, W, Th, F",8:30 am - 5:00 pm,Special Education,['Disability'],Tucson,AZ,85710,http://www.easterseals.com/,
Easterseals Blake Foundation,15202023549,330 N Commerce Park Loop,0,,,Special Education,['Disability'],Tucson,AZ,85745,http://www.easterseals.com/,
Easterseals Blake Foundation,15203271529,7750 E Broadway Blvd,0,,,Special Education,['Disability'],Tucson,AZ,85710,http://www.easterseals.com/blakefoundation,
Tucson Unified School District: Child Find,15202327034,5145 East 5th Street,0,,,Special Education,"['Disability', 'Adolescent', 'Young Adult', 'Education']",Tucson,AZ,85711,,
Raising Special Kids ,6022424366,,0,,,Special Education,"['Disability', 'Adolescent', 'Young Adult']",,,,www.raisingspecialkids.org,
Pilot Parents of Southern Arizona ,18773657220,2600 N Wyatt Dr,0,,,Special Education,"['Disability', 'Adolescent', 'Young Adult']",Tucson,AZ,85712,,
Chicanos Por La Causa ,15208820018,1525 N Oracle Rd,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Housing,,Tucson,AZ,85705,http://www.cplc.org/,Mortgage counseling; assistance to avoid eviction or foreclosure; subsidized housing
Housing and Community Development,15207914171,310 N Commerce Park Loop,0,"M, T, W, Th, F",8:00 am - 4:00 pm,Housing,,Tucson,AZ,85745,https://www.tucsonaz.gov/housing-and-community-development,Property and Housing complaints
Tucson Section 8 Housing Program,15207914171,310 N Commerce Park Loop,0,"M, T, W, Th, F",8:00 am - 4:00 pm,Housing,,Tucon,AZ,85745,https://www.tucsonaz.gov/hcd/section-8-program-information,
"City of Tucson, Housing Application Hotline",5207915262,,1,,,Housing,,,,,,
Housing Search,,,1,,,Housing,,,,,www.pimacountyhousingsearch.org,
Tucson Urban League,15207919522,3425 E Grant Rd #101,0,"M, T, W, Th, F",9:00 am - 5:00 pm,Housing,['Public Benefits'],Tucson,AZ,85716,http://www.tucsonurbanleague.org/,"Homeowner repair program, rental assistance; utility assistance; affordable housing counseling"
Bus Passes,15207914100,,1,,,Public Benefits,"['Disability', 'Elder', 'Low Income', 'Transportation']",,,,,"Low-income, senior, ADA"
Child & Family Resources Inc.,15208818940,2800 E Broadway Blvd,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Public Benefits,"['Family', 'Adolescent', 'Young Adult']",Tucson,AZ,85716,http://www.childfamilyresources.org/,
Sun Van ,15207981000,3401 E Ajo Way,0,,,Public Benefits,['Transportation'],Tucson,AZ,85713,https://www.sunvan.com/,Provides transportation to those people unable to use SunTran due to their disability
AZ Coalition Against Domestic Violence Hotline,18007826400,,1,,,Domestic Violence,,,,,http://www.acesdv.org/,
Emerge! Center Against Domestic Abuse,15207958001,2545 E Adams St,0,"M, T, W, Th, F",8:30 am - 5:00 pm,Domestic Violence,,Tucson,AZ,85716,http://www.emergecenter.org/,
Emerge! Center Against Domestic Abuse,15205733637,101 W Irvington Rd,0,,,Domestic Violence,,Tucson,AZ,85714,https://www.emergecenter.org/,
Late Life Domestic Violence Program,15206233341,,1,,,Domestic Violence,['Elder'],,,,,
Pima County Att.'s Victim Services Program,15207405525,32 N Stone Ave # 1400,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Domestic Violence,,Tucson,AZ,85701,http://www.pcao.pima.gov/victimservicesdivision.aspx,
Southern Arizona Center Against Sexual Assault,15203271171,1600 N Country Club Rd,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Domestic Violence,,Tucson,AZ,85716,http://www.sacasa.org/,
UA Domestic Violence Clinic,15206211373,1224 E Lowell St,0,"M, T, W, Th, F","8:00 am - 4:00 pm, W 9:00 am - 4:00 pm",Domestic Violence,,Tucson,AZ,85721,http://www.health.arizona.edu/,
ARC (Administration of Resources and Choices) Elder Shelter,15203392801,1625 N Alvernon Way Suite 101,0,,,Elder,['Family'],Tucson,AZ,85712,https://arc-az.org/late-life-domestic-violence-services/,
KARE Family Center,15203234476,220 E Speedway Blvd,0,"M, T, W, Th, F",9:00 am - 5:00 pm,Elder,['Family'],Tucson,AZ,85705,http://www.casey.org/Locations/Arizona/KARE/,
Community Food Bank,15206220525,3003 S Country Club Rd,0,"T, Th",7:00 am - 10:00 am,Food and Nutrition ,,Tucson,AZ,85713,https://www.communityfoodbank.org/,
Az211,18772118661,,1,,,Food and Nutrition ,,,,,www.cir.org,Community information and referrals
Food Box Program ,15206220525,3003 S Country Club Rd,0,,,Food and Nutrition ,,Tucson,AZ,85713,,
Mobile Meals of Southern Arizona,15206221600,"4803 E. 5th Street, Suite 209",0,"M, T, W, Th, F",8:00 am - 5:00 pm,Food and Nutrition ,,Tucson,AZ,85711,https://www.mobilemealssoaz.org/,
Pima Meals on Wheels ,15207907262,8467 E Broadway Blvd,0,"M, T, W, Th, F",8:30 am - 5:00 pm,Food and Nutrition ,"['Elder', 'Family']",Tucson,AZ,85710,https://www.pcoa.org/,
Market on the Move,,,1,,,Food and Nutrition ,,,,,http://the3000club.org/wordpress/marketonthemove/  ,
